"global_step","algo: EMOS - _step","algo: EMOS - _step__MIN","algo: EMOS - _step__MAX","algo: EMOS - eval/eum","algo: EMOS - eval/eum__MIN","algo: EMOS - eval/eum__MAX"
"0","12","12","12","15.7714947940955","13.272048616334507","18.342134754403354"
"2621440","24357","23429","25095","84.47473315079652","60.57817911912629","119.88959085434777"
"3276800","27462.2","26304","28494","93.35070610416264","60.62209298891114","119.88959085434777"
"3932160","31953.2","29639","34703","93.3671859591994","60.70449226409493","119.88959085434777"
"4587520","37528.2","33427","42103","93.50271798750457","61.382152405620765","119.88959085434777"
"5242880","44308","37560","50787","94.16205905334873","62.923433787578794","119.88959085434777"
"5898240","52044.4","41887","60995","94.55991959733775","64.34901781613759","120.14856121546276"
"6553600","60614.4","46466","72651","95.31757274547917","65.51567448026447","121.68027376631409"
"7208960","69936.2","51215","85321","96.12686096530389","65.51567448026447","121.68027376631409"
"7864320","79921","56270","98781","97.52964374965435","65.51567448026447","121.68027376631409"
"8519680","90593.4","61728","112950","97.53727300798714","65.53207497566417","121.68027376631409"
"9175040","101720.2","67342","127632","98.96255257536862","71.31761673210387","121.68027376631409"
"9830400","113132.2","73006","142700","98.9687347195913","71.34831535604926","121.68027376631409"
"10485760","124682","78854","157822","99.33295547347505","71.34831535604926","121.68027376631409"
"11141120","136399.8","84817","172900","100.49833713067669","75.42465412360107","121.68027376631409"
"11796480","148285.8","90984","187956","101.16382969378284","78.3906029883272","121.68027376631409"
"12451840","160325.6","97184","202976","102.19835817931992","80.24921438817388","121.68027376631409"
"13107200","172708.8","103449","218118","102.19835817931992","80.24921438817388","121.68027376631409"
"13762560","185273","110076","233281","102.19835817931992","80.24921438817388","121.68027376631409"
"14417920","198016.2","116736","248610","102.19835817931992","80.24921438817388","121.68027376631409"
"15073280","210857","123392","263924","102.26556909104933","80.56753827167813","121.68027376631409"
"15728640","223687.6","130154","279237","102.95052881062767","83.90257183499267","121.68027376631409"
"16384000","236584.6","136898","294546","102.95052881062767","83.90257183499267","121.68027376631409"
"17039360","249563.4","143638","309855","103.24479392965902","83.90257183499267","121.68027376631409"
"17694720","262566","150529","325168","103.87065503910344","86.82841033183202","121.68027376631409"
"18350080","275612.2","157290","340494","104.18532078986883","87.4294810814194","121.68027376631409"
"19005440","288599","164074","355889","104.18532078986883","87.4294810814194","121.68027376631409"
"19660800","301581","170992","371315","104.18532078986883","87.4294810814194","121.68027376631409"
"20316160","314658.8","178018","386876","104.4463406228638","87.4294810814194","121.70876342045969"