"global_step","algo: EMOS_NOcomplexEA_optimized - _step","algo: EMOS_NOcomplexEA_optimized - _step__MIN","algo: EMOS_NOcomplexEA_optimized - _step__MAX","algo: EMOS_NOcomplexEA_optimized - eval/eum","algo: EMOS_NOcomplexEA_optimized - eval/eum__MIN","algo: EMOS_NOcomplexEA_optimized - eval/eum__MAX"
"0","12","12","12","16.32607070733599","13.451660166393529","21.02728241235069"
"2621440","23559.8","23145","24027","61.16785621933267","49.84446759451287","75.50357008617624"
"3276800","26696.2","26203","27301","62.57322441920074","51.756532464253","75.50357008617624"
"3932160","31079.6","29709","32040","63.593568500190585","52.497192480932355","75.50357008617624"
"4587520","36598.6","34051","38981","64.17063099590307","53.498585523423365","77.28546213985241"
"5242880","43190.4","39064","47561","64.78675304383009","53.498585523423365","77.30434826757427"
"5898240","50730.4","44759","56958","65.69221158817182","55.54946019171202","79.78076632099427"
"6553600","59192","51267","66636","65.94365724392622","56.34621372822913","80.24124106324916"
"7208960","68580","58254","79695","66.48871426729218","56.69193457624745","82.62080533206067"
"7864320","78651","65645","94550","66.57761493145065","56.69193457624745","83.06395436924068"
"8519680","89228.2","73713","110050","66.57765101703087","56.69193457624745","83.06395436924068"
"9175040","100180.6","82460","126080","67.26249500900255","59.52831797187069","83.06395436924068"
"9830400","111498","92164","142488","67.65091071839214","59.52831797187069","83.06395436924068"
"10485760","123266.2","103048","159207","67.75236315837834","59.52831797187069","83.06395436924068"
"11141120","135345.6","112100","176179","67.80140923358195","59.52831797187069","83.06395436924068"
"11796480","147657.8","121124","193499","68.44970966780248","59.53919183003989","83.06395436924068"
"12451840","160247","130069","211041","69.9776512492832","60.77417429357469","83.06395436924068"
"13107200","172747.2","139026","228409","70.67711016668885","62.10987525408493","83.06395436924068"
"13762560","184772.8","148106","241372","70.8050203096258","62.10987525408493","83.06395436924068"
"14417920","197217","157320","255059","70.96195445100103","62.10987525408493","83.06395436924068"
"15073280","210558.4","166822","269305","71.51968972165855","63.90593535732854","83.37418715891948"
"15728640","224031.4","176420","284120","71.67668240544799","63.90593535732854","83.37418715891948"
"16384000","237729","185898","299490","71.98676065528949","63.90593535732854","83.37418715891948"
"17039360","251661.8","195725","315074","72.55749902452256","63.90593535732854","83.70968250756687"
"17694720","265462","205527","331063","72.9811549978634","63.90593535732854","83.73671532972406"
"18350080","279539.2","215771","347277","73.21526910326843","63.90593535732854","83.737325233751"
"19005440","293959.8","226545","363715","74.11654473987734","66.8793919799233","83.737325233751"
"19660800","308635","237478","380618","74.12504934108858","66.91306502458927","83.737325233751"
"20316160","323476","248771","397368","74.12504934108858","66.91306502458927","83.737325233751"