"global_step","algo: EMOS_NOcomplexEA_optimized - _step","algo: EMOS_NOcomplexEA_optimized - _step__MIN","algo: EMOS_NOcomplexEA_optimized - _step__MAX","algo: EMOS_NOcomplexEA_optimized - eval/hypervolume","algo: EMOS_NOcomplexEA_optimized - eval/hypervolume__MIN","algo: EMOS_NOcomplexEA_optimized - eval/hypervolume__MAX"
"0","12","12","12","13554.449114532083","12911.824913168191","14628.6623458041"
"2621440","23559.8","23145","24027","26652.214429021515","23213.501695042476","30744.66864576447"
"3276800","26696.2","26203","27301","27160.211132578414","23855.91966585703","30744.66864576447"
"3932160","31079.6","29709","32040","27532.354897196637","24056.8868188154","30744.66864576447"
"4587520","36598.6","34051","38981","27792.970286668547","24374.856754680208","31706.960482329945"
"5242880","43190.4","39064","47561","27996.74352133608","24390.740056902883","31748.608834504033"
"5898240","50730.4","44759","56958","28337.961047816767","24938.026864579515","32899.5341806334"
"6553600","59192","51267","66636","28421.690875372897","25215.85486395686","33032.38823358333"
"7208960","68580","58254","79695","28620.0517142261","25336.16073114457","33902.366543655226"
"7864320","78651","65645","94550","28628.32492007455","25336.244487532735","33933.338589859166"
"8519680","89228.2","73713","110050","28628.465604148234","25336.521288552525","33933.338589859166"
"9175040","100180.6","82460","126080","28787.557991825965","26099.579011202906","33933.338589859166"
"9830400","111498","92164","142488","28924.225190661382","26099.579011202906","33933.338589859166"
"10485760","123266.2","103048","159207","28930.537625957502","26099.579011202906","33933.338589859166"
"11141120","135345.6","112100","176179","28967.1895839337","26099.579011202906","33933.338589859166"
"11796480","147657.8","121124","193499","29201.254313139034","26147.870487149194","33933.338589859166"
"12451840","160247","130069","211041","29799.239633342928","26415.50703656496","33933.338589859166"
"13107200","172747.2","139026","228409","30083.408528252552","26994.39675405869","33933.338589859166"
"13762560","184772.8","148106","241372","30139.97681407234","26994.39675405869","33933.338589859166"
"14417920","197217","157320","255059","30204.16336430874","26994.39675405869","33933.338589859166"
"15073280","210558.4","166822","269305","30311.648326270333","27255.184048539028","34075.02639835718"
"15728640","224031.4","176420","284120","30350.95227531237","27255.184048539028","34075.02639835718"
"16384000","237729","185898","299490","30507.11234714354","27255.184048539028","34075.02639835718"
"17039360","251661.8","195725","315074","30780.008970897674","27255.184048539028","34498.96541237662"
"17694720","265462","205527","331063","30984.476032030012","27255.184048539028","34515.401185359224"
"18350080","279539.2","215771","347277","31095.67931548995","27255.184048539028","34519.96359327505"
"19005440","293959.8","226545","363715","31515.876875645095","28673.51796157309","34519.96359327505"
"19660800","308635","237478","380618","31524.6243639683","28708.216638531885","34519.96359327505"
"20316160","323476","248771","397368","31525.58373464308","28708.216638531885","34519.96359327505"