"global_step","algo: EMOS_NOcomplexEA_optimized - _step","algo: EMOS_NOcomplexEA_optimized - _step__MIN","algo: EMOS_NOcomplexEA_optimized - _step__MAX","algo: EMOS_NOcomplexEA_optimized - eval/sparsity","algo: EMOS_NOcomplexEA_optimized - eval/sparsity__MIN","algo: EMOS_NOcomplexEA_optimized - eval/sparsity__MAX"
"0","12","12","12","6.523366424441337","0","16.34937235713005"
"2621440","23559.8","23145","24027","439.9576084136963","0","940.1568069458008"
"3276800","26696.2","26203","27301","161.69104309429727","0","508.45297360420227"
"3932160","31079.6","29709","32040","133.33459571618897","0","338.5819280371846"
"4587520","36598.6","34051","38981","105.01107908005818","56.77748412640358","252.26708921865793"
"5242880","43190.4","39064","47561","112.58983141567246","53.123341619968414","253.17001559841447"
"5898240","50730.4","44759","56958","107.90804802214738","53.22508983314037","187.98493447793007"
"6553600","59192","51267","66636","113.59650848208616","42.14876618385315","248.58340205717832"
"7208960","68580","58254","79695","87.67082175362854","14.59805305612584","198.26477011814714"
"7864320","78651","65645","94550","93.81365209250222","36.40961431711912","199.77031195908785"
"8519680","89228.2","73713","110050","87.10906942539626","36.25369670577347","166.32429373636842"
"9175040","100180.6","82460","126080","110.95457029848387","32.49998216500337","182.55767344435057"
"9830400","111498","92164","142488","126.51091805985641","52.60208707054456","211.89057217538357"
"10485760","123266.2","103048","159207","159.94196136271017","52.60208707054456","379.09747757514316"
"11141120","135345.6","112100","176179","128.20032464192352","52.60208707054456","249.2212234372273"
"11796480","147657.8","121124","193499","104.84678257189265","52.60208707054456","145.02670566953853"
"12451840","160247","130069","211041","112.2031735666915","52.60208707054456","191.17049956321716"
"13107200","172747.2","139026","228409","96.52396709860258","52.60208707054456","136.37558841705322"
"13762560","184772.8","148106","241372","87.96268204181106","52.60208707054456","136.37558841705322"
"14417920","197217","157320","255059","84.17998198904681","52.60208707054456","136.37558841705322"
"15073280","210558.4","166822","269305","77.94485061123687","51.76110157370567","122.8194908681843"
"15728640","224031.4","176420","284120","74.00743488034168","51.26249087925276","99.97857682135972"
"16384000","237729","185898","299490","69.46289328540753","45.99132693777792","91.66285592373849"
"17039360","251661.8","195725","315074","69.25353249845064","44.60389952073317","84.20527809586089"
"17694720","265462","205527","331063","64.81699315765407","42.50681286852341","81.78167986869812"
"18350080","279539.2","215771","347277","56.31211813233707","33.474920600652695","81.78167986869812"
"19005440","293959.8","226545","363715","53.68943438288843","33.474920600652695","78.75969521204631"
"19660800","308635","237478","380618","49.88688991879019","33.474920600652695","71.75165939331055"
"20316160","323476","248771","397368","48.87539899493047","33.474920600652695","71.75165939331055"