"global_step","algo: PGMORL - _step","algo: PGMORL - _step__MIN","algo: PGMORL - _step__MAX","algo: PGMORL - eval/eum","algo: PGMORL - eval/eum__MIN","algo: PGMORL - eval/eum__MAX"
"0","18","18","18","-24.950540821150458","-29.162169197186923","-18.723258295318207"
"3932160","8757","8757","8757","13.719511716946235","7.3504794984830735","28.986063991599366"
"4915200","10957","10957","10957","16.882658120634442","8.361957829264407","29.065256072483297"
"5898240","13157","13157","13157","18.747628287997344","10.120641696433644","32.04398482620419"
"6881280","15357","15357","15357","25.413599189941156","16.98163842029853","37.93934292548859"
"7864320","17557","17557","17557","25.41496419420297","16.98163842029853","37.93934292548859"
"8847360","19757","19757","19757","25.74834415857466","16.98402035415903","37.93934292548859"
"9830400","21957","21957","21957","29.746723872805937","18.4402693620498","37.94047403412011"
"10813440","24157","24157","24157","29.75186355538587","18.444945998516786","37.96149581055277"
"11796480","26357","26357","26357","29.75186355538587","18.444945998516786","37.96149581055277"
"12779520","28557","28557","28557","29.779820523918783","18.512165791786277","38.01747031200787"
"13762560","30757","30757","30757","29.781995598348345","18.51404820613588","38.018970007006914"
"14745600","32957","32957","32957","29.785225927588545","18.525011450145247","38.019521407153626"
"15728640","35157","35157","35157","31.336800397914004","18.826168314910266","39.663512107498676"
"16711680","37357","37357","37357","31.532713848826084","19.381515778474718","40.085425932233534"
"17694720","39557","39557","39557","34.50768858085816","23.335106261902688","40.086970910145766"
"18677760","41757","41757","41757","34.53705167286606","23.396794803307607","40.17209782878036"
"19660800","43957","43957","43957","34.6027335520934","23.396794803307607","40.236879627677425"
"20643840","46157","46157","46157","36.11142852406233","23.39687324221742","41.71030578623362"
"21626880","48357","48357","48357","36.90456443304457","24.061747797542306","41.7104846535141"
"22609920","50557","50557","50557","37.27024954911961","25.839438034003283","41.72236996841675"
"23592960","52757","52757","52757","39.239856253537376","35.41442066490983","41.722652728932374"
"24576000","54957","54957","54957","39.239856253537376","35.41442066490983","41.722652728932374"
"25559040","57157","57157","57157","40.319316783508015","35.450045003383636","45.871326069723494"
"26542080","59357","59357","59357","40.320468042611964","35.45420260473593","45.87292476389092"
"27525120","61557","61557","61557","40.320940513266486","35.456564958008556","45.87292476389092"
"28508160","63757","63757","63757","40.414478449655185","35.92226536196338","45.87292476389092"
"29491200","65957","65957","65957","41.434631026512946","35.94799703465077","50.94795597549238"
"30474240","68157","68157","68157","43.18707669786347","38.0335111222","51.88104497093466"