,eval/front,eval/sparsity,losses/policy_loss,losses/critic_loss,_runtime,global_step,eval/cardinality,_step,eval/eum,_timestamp,eval/hypervolume
0,,,-2.207638740539551,0.04493406414985657,3.373492174,1200,,2,,1736532407.3599324,
1,,,-3.0045790672302246,0.04887952655553818,4.978708422,1400,,4,,1736532408.965145,
2,,,-6.225164413452148,0.4950917363166809,9.85541729,2000,,10,,1736532413.841849,
3,,,-6.907288551330566,0.09877075254917145,10.680101071,2100,,11,,1736532414.6665542,
4,,,-7.999810218811035,0.21977989375591278,12.328958926,2300,,13,,1736532416.3153932,
5,,,-18.049833297729492,5.09031867980957,25.603457529,3900,,29,,1736532429.5898914,
6,,,-22.144039154052734,2.8938777446746826,33.869181543,4900,,39,,1736532437.8556113,
7,,,-24.421308517456055,12.0768461227417,38.854418174,5500,,45,,1736532442.840847,
8,,,-23.399253845214844,6.708919048309326,42.183683155,5900,,49,,1736532446.1701133,
9,,,-30.130388259887695,12.696037292480469,52.978394664,7200,,62,,1736532456.964818,
10,,,-29.390872955322266,4.62882137298584,57.951840718,7800,,68,,1736532461.9382606,
11,,,-32.553688049316406,2.5603654384613037,58.779198136,7900,,69,,1736532462.7656245,
12,,,-34.848106384277344,3.7751035690307617,61.268016794,8200,,72,,1736532465.25443,
13,,,-36.60832214355469,1.475188970565796,66.240356813,8800,,78,,1736532470.2267935,
14,,,-38.64414596557617,5.771129608154297,69.532046804,9200,,82,,1736532473.5184755,
15,,,-37.12982177734375,9.157514572143555,70.356847954,9300,,83,,1736532474.3432784,
16,"{'ncols': 2, 'nrows': 36, 'path': 'media/table/eval/front_91_66ee6d069ea58a14880d.table.json', 'sha256': '66ee6d069ea58a14880ddc14de3d440efcd23dfddf0ff662e9aa56fb3bd5d768', 'size': 1526, 'artifact_path': 'wandb-client-artifact://0or8yd35u9qnceugwlvmx24ykmq2bczy1nbtu1ybpfzf6ssmwza4yrnzpndzbd46jc4y5svmliupkvwpvf24amj6qgivnc0nds8zj61fqrnyozepeaz0ugo0c0f7f4ob/eval/front.table.json', '_latest_artifact_path': 'wandb-client-artifact://z2ob3r1ahe1f7homm8hfmb58k3zerupur77ryjeckejzsomx5qdtujp60rha5171zr9ob5y6zjmfu1mtxv4uhpaogy0s2oxe91f2q2s2tutg4p1vdc6zspkdugvagw0u:latest/eval/front.table.json', '_type': 'table-file'}",2.3042396987586335,,,107.506394218,10000,36.0,91,106.80225229900506,1736532511.4926353,42217.58870798178
17,,,-37.93119812011719,17.384777069091797,109.19116049,10200,,93,,1736532513.1775744,
18,,,-41.49221420288086,6.2720465660095215,111.692568661,10500,,96,,1736532515.678991,
19,,,-41.83217239379883,5.905584335327148,112.514033324,10600,,97,,1736532516.5004637,
20,,,-44.22737121582031,4.345928192138672,115.834040623,11000,,101,,1736532519.8204877,
21,,,-42.162479400634766,5.178614616394043,118.325860794,11300,,104,,1736532522.3122885,
22,,,-47.434757232666016,4.132811546325684,119.987302982,11500,,106,,1736532523.973733,
23,,,-45.47140121459961,5.2740983963012695,120.819713311,11600,,107,,1736532524.8061671,
24,,,-46.38434982299805,15.966922760009766,124.969019201,12100,,112,,1736532528.955449,
25,,,-43.35525894165039,58.04632568359375,125.800535093,12200,,113,,1736532529.7869651,
26,,,-50.12905502319336,6.548578262329102,132.452618186,13000,,121,,1736532536.4390285,
27,,,-50.482994079589844,4.979371070861816,135.775222029,13400,,125,,1736532539.7616565,
28,,,-47.36680603027344,49.43376541137695,138.286016655,13700,,128,,1736532542.2724433,
29,,,-46.88945770263672,12.725481986999512,144.130413334,14400,,135,,1736532548.1168454,
30,,,-47.5930290222168,3.7999374866485596,145.793896825,14600,,137,,1736532549.7803264,
31,,,-58.197235107421875,7.359281539916992,149.952719046,15100,,142,,1736532553.9391303,
32,,,-54.47862243652344,4.441786766052246,151.621505376,15300,,144,,1736532555.607937,
33,,,-47.82688522338867,6.887404441833496,156.619972873,15900,,150,,1736532560.606401,
34,,,-53.91337585449219,3.8004887104034424,159.118654839,16200,,153,,1736532563.105085,
35,,,-48.856727600097656,12.91357421875,160.784331388,16400,,155,,1736532564.7707682,
36,,,-56.1104736328125,4.122529029846191,161.614538334,16500,,156,,1736532565.600976,
37,,,-54.21375274658203,61.939674377441406,165.767111331,17000,,161,,1736532569.7535412,
38,,,-54.33763122558594,6.1231369972229,169.095477184,17400,,165,,1736532573.081899,
39,,,-50.92991256713867,8.96072006225586,172.430936218,17800,,169,,1736532576.4173672,
40,,,-58.02204132080078,2.3558907508850098,173.263812666,17900,,170,,1736532577.2502382,
41,,,-56.91143035888672,31.154438018798828,175.761737579,18200,,173,,1736532579.7481759,
42,,,-55.56654739379883,2.6547536849975586,179.931061519,18700,,178,,1736532583.9174938,
43,,,-51.09653854370117,3.7171268463134766,180.765138187,18800,,179,,1736532584.75158,
44,,,-55.418861389160156,5.308228015899658,182.430972337,19000,,181,,1736532586.4173996,
45,,,-55.04204177856445,2.145887851715088,187.433896041,19600,,187,,1736532591.4203281,
46,,,-57.59403610229492,3.6740646362304688,189.939727286,19900,,190,,1736532593.9261594,
47,"{'ncols': 2, 'nrows': 18, 'path': 'media/table/eval/front_192_ddd734101e63fb2f884e.table.json', 'sha256': 'ddd734101e63fb2f884e709c4fe459bb7919bff86807d2c86c6fd319087049fb', 'size': 790, 'artifact_path': 'wandb-client-artifact://u2dx18rrqq85xjycodb10i9piddgdelqzmq4vjiqdp2ohk1mcbq75r6xf9avneznfxsg9sez59rmz5k1t98kv6ekn8zn2bc5wtpxyjfz6bh8q5bl7rzr8el6qu76f2cz/eval/front.table.json', '_latest_artifact_path': 'wandb-client-artifact://gvt8zvu8dchj41ogjx1rh9pd79hfgl2cri3a5cz8jrl608stnvl9kfns614stj3549nd5j6k8ptcpjjmsu5xde3ijibhua76tpbynttafrqa4djad6matmj6lkxcnshh:latest/eval/front.table.json', '_type': 'table-file'}",89.2641744407424,,,273.693997716,20000,18.0,192,112.05314690086152,1736532677.6804457,47638.36824157059
48,,,-52.35301971435547,2.156017780303955,275.363072669,20200,,194,,1736532679.3494985,
49,,,-54.7640380859375,16.90728187561035,278.711594108,20600,,198,,1736532682.6980212,
50,,,-59.08009338378906,2.440812826156616,282.080917683,21000,,202,,1736532686.0673466,
51,,,-61.01834487915039,3.2259786128997803,291.366956712,22100,,213,,1736532695.3533897,
52,,,-57.834564208984375,7.217968940734863,292.209298451,22200,,214,,1736532696.1957192,
53,,,-61.6577033996582,25.049419403076172,298.050688964,22900,,221,,1736532702.0371196,
54,,,-60.794349670410156,2.598080635070801,300.545030121,23200,,224,,1736532704.5314717,
55,,,-58.94549560546875,3.607356309890747,305.529874728,23800,,230,,1736532709.516305,
56,,,-60.13357162475586,7.645458698272705,307.189317749,24000,,232,,1736532711.175748,
57,,,-61.23527908325195,25.126304626464844,311.340104443,24500,,237,,1736532715.3265288,
58,,,-60.052703857421875,24.408222198486328,312.168838944,24600,,238,,1736532716.1552734,
59,,,-56.99018859863281,5.153670787811279,313.830205999,24800,,240,,1736532717.8166387,
60,,,-58.90133285522461,6.2476911544799805,314.660100679,24900,,241,,1736532718.6465325,
61,,,-56.13335418701172,2.458688259124756,316.320271992,25100,,243,,1736532720.30669,
62,,,-58.07014846801758,4.827722072601318,319.647879806,25500,,247,,1736532723.6343043,
63,,,-63.973567962646484,6.381268501281738,322.136424786,25800,,250,,1736532726.1228545,
64,,,-60.994956970214844,55.808380126953125,324.635765782,26100,,253,,1736532728.62219,
65,,,-61.31753158569336,31.4283447265625,330.452297987,26800,,260,,1736532734.4387496,
66,,,-56.94795608520508,3.472775459289551,332.944728321,27100,,263,,1736532736.9311485,
67,,,-60.01762390136719,4.480564117431641,334.601430214,27300,,265,,1736532738.5878606,
68,,,-61.291534423828125,6.04195499420166,339.59515382,27900,,271,,1736532743.5815885,
69,,,-59.5359001159668,1.8392513990402222,344.587990861,28500,,277,,1736532748.5744157,
70,,,-58.66322708129883,2.934511661529541,349.571032314,29100,,283,,1736532753.557466,
71,,,-58.119651794433594,2.525193214416504,352.062301977,29400,,286,,1736532756.0487413,
72,,,-52.350215911865234,7.019166946411133,353.725039733,29600,,288,,1736532757.7114737,
73,,,-61.02391815185547,1.986354112625122,354.558154659,29700,,289,,1736532758.54459,
74,,,-59.032291412353516,2.5559089183807373,355.388256714,29800,,290,,1736532759.3746743,
75,,,-57.97251510620117,2.2975237369537354,357.048214114,30000,,292,,1736532761.0346475,
76,,,-55.57882308959961,4.481976509094238,467.747688772,30100,,294,,1736532871.7341366,
77,,,-55.37611389160156,1.6717877388000488,470.248429959,30400,,297,,1736532874.2348595,
78,,,-53.749366760253906,3.8540120124816895,471.917838102,30600,,299,,1736532875.90427,
79,,,-54.441741943359375,2.7245702743530273,476.096265492,31100,,304,,1736532880.0826952,
80,,,-57.828983306884766,2.096742630004883,477.764907688,31300,,306,,1736532881.7513235,
81,,,-56.41108322143555,21.15420150756836,478.599285795,31400,,307,,1736532882.5857186,
82,,,-58.10663604736328,12.618274688720703,481.107221419,31700,,310,,1736532885.093664,
83,,,-48.69314193725586,2.2151920795440674,485.279648268,32200,,315,,1736532889.2660718,
84,,,-54.31487274169922,11.141304016113281,486.112431448,32300,,316,,1736532890.098862,
85,,,-51.47895812988281,4.290953159332275,489.450893846,32700,,320,,1736532893.4373322,
86,,,-53.51081466674805,3.082777500152588,490.285913095,32800,,321,,1736532894.27234,
87,,,-54.90318298339844,2.852653741836548,497.837276769,33700,,330,,1736532901.8237042,
88,,,-52.79042434692383,2.220332384109497,499.516334393,33900,,332,,1736532903.5027635,
89,,,-57.890560150146484,2.8701462745666504,502.03482272,34200,,335,,1736532906.0212185,
90,,,-58.77712631225586,3.001585006713867,502.874267202,34300,,336,,1736532906.860695,
91,,,-51.690330505371094,3.0664353370666504,503.716227753,34400,,337,,1736532907.702654,
92,,,-53.51082992553711,32.44508743286133,505.409882757,34600,,339,,1736532909.396314,
93,,,-58.028018951416016,5.992798805236816,506.248762146,34700,,340,,1736532910.235187,
94,,,-52.69974899291992,2.274348258972168,507.086914576,34800,,341,,1736532911.0733466,
95,,,-52.9163818359375,2.1353869438171387,507.924714654,34900,,342,,1736532911.9111338,
96,,,-55.01509094238281,3.473447799682617,512.944272955,35500,,348,,1736532916.9306962,
97,,,-57.61710739135742,1.7585033178329468,514.61519632,35700,,350,,1736532918.6016262,
98,,,-54.79035186767578,9.814851760864258,516.288384089,35900,,352,,1736532920.2748199,
99,,,-56.032981872558594,1.642069697380066,517.963406232,36100,,354,,1736532921.94983,
100,,,-58.6490364074707,3.937790870666504,528.859984618,37400,,367,,1736532932.846414,
101,,,-58.9835319519043,2.1790497303009033,534.731065187,38100,,374,,1736532938.7174964,
102,,,-56.24509811401367,2.2115588188171387,538.070403823,38500,,378,,1736532942.0568266,
103,,,-63.29678726196289,1.549150824546814,541.424972755,38900,,382,,1736532945.411404,
104,,,-58.53179168701172,1.873863697052002,545.695180138,39400,,387,,1736532949.6816669,
105,,,-57.87221908569336,3.430239677429199,546.591056991,39500,,388,,1736532950.577477,
106,,,-52.91197967529297,1.9775440692901611,550.118009025,39900,,392,,1736532954.1044374,
107,,,-61.708168029785156,1.5964235067367554,640.430434418,40200,,396,,1736533044.4169111,
108,,,-59.28852081298828,2.5532636642456055,643.791829022,40600,,400,,1736533047.7782614,
109,,,-56.27049255371094,10.776636123657227,649.671749462,41300,,407,,1736533053.6581893,
110,,,-56.75347900390625,2.1982879638671875,658.92460321,42400,,418,,1736533062.911026,
111,,,-56.52322769165039,1.8649322986602783,664.772939947,43100,,425,,1736533068.759366,
112,,,-57.764137268066406,1.5312328338623047,672.293334616,44000,,434,,1736533076.279753,
113,,,-66.20048522949219,10.749472618103027,673.131468164,44100,,435,,1736533077.1179001,
114,,,-52.502967834472656,4.541179180145264,677.325459859,44600,,440,,1736533081.3118904,
115,,,-60.23578643798828,2.444488763809204,681.55334558,45100,,445,,1736533085.5397768,
116,,,-61.66169738769531,4.621185302734375,683.229639504,45300,,447,,1736533087.2160757,
117,,,-59.707862854003906,1.5851678848266602,686.578518021,45700,,451,,1736533090.5649493,
118,,,-56.677337646484375,1.761065125465393,687.415496917,45800,,452,,1736533091.401925,
119,,,-61.20126724243164,4.393962860107422,689.08848693,46000,,454,,1736533093.0749063,
120,,,-57.35027313232422,1.5670111179351807,689.925342888,46100,,455,,1736533093.9117756,
121,,,-61.61511993408203,4.489353179931641,691.599734831,46300,,457,,1736533095.5861645,
122,,,-60.074222564697266,1.8518030643463135,707.513308725,48200,,476,,1736533111.499732,
123,,,-58.87464904785156,1.6595051288604736,710.025359936,48500,,479,,1736533114.011794,
124,,,-59.28068542480469,2.9948601722717285,714.212304437,49000,,484,,1736533118.1987357,
125,,,-55.98923873901367,20.19622230529785,715.887284472,49200,,486,,1736533119.873723,
126,,,-65.37849426269531,4.0790557861328125,722.592965489,50000,,494,,1736533126.5793977,
127,"{'_type': 'table-file', 'ncols': 2, 'nrows': 27, 'path': 'media/table/eval/front_495_20678725e7613f0ffeb2.table.json', 'sha256': '20678725e7613f0ffeb25d91b3267dd4711e31912fa2c45988cfa39738dd756c', 'size': 1155, 'artifact_path': 'wandb-client-artifact://rzfsfh4gj705v4qfi05crlzfq2739odconir125jtxo9m3m0xguzscpgl2nb86b75l9fr9bo8x1t0a735q3emgykrdgsp0a0hjkye7z8pan8uv5y9uyve38lp0tpblb9/eval/front.table.json', '_latest_artifact_path': 'wandb-client-artifact://ymbh59bntxg0cun1fc5d63hjff2ul16rcu1lc4kuy3cb18fnkgp7044hd0b6f7cfognrcoyifdgx7071cpznwcgguz9bzksaq9lqfppz8nm26l6zaie3hcv97t5huzmz:latest/eval/front.table.json'}",70.39457398482803,,,761.764477555,50000,27.0,495,134.81669426461295,1736533165.7509758,60381.71448490249
128,,,-63.200897216796875,4.354348182678223,765.108228323,50400,,499,,1736533169.094657,
129,,,-60.81479263305664,4.918653964996338,767.61648903,50700,,502,,1736533171.6029181,
130,,,-58.98302459716797,2.0033059120178223,770.972481335,51100,,506,,1736533174.9589093,
131,,,-64.88719177246094,2.081404209136963,771.809776765,51200,,507,,1736533175.7962108,
132,,,-68.33438873291016,1.9707258939743042,773.49108442,51400,,509,,1736533177.477511,
133,,,-61.68538284301758,1.7425858974456787,775.169707815,51600,,511,,1736533179.1561418,
134,,,-63.883975982666016,2.5086140632629395,776.009518165,51700,,512,,1736533179.9959462,
135,,,-63.05169677734375,1.4439342021942139,777.689597657,51900,,514,,1736533181.6760266,
136,,,-64.51736450195312,1.726539134979248,781.894249168,52400,,519,,1736533185.8806896,
137,,,-63.50392150878906,1.912891149520874,784.415243072,52700,,522,,1736533188.4016693,
138,,,-63.14564514160156,1.6176038980484009,785.256423206,52800,,523,,1736533189.2428534,
139,,,-61.621826171875,3.671675205230713,795.339021036,54000,,535,,1736533199.325454,
140,,,-63.61825180053711,1.8179975748062134,799.565752489,54500,,540,,1736533203.5521822,
141,,,-68.86222839355469,4.269296646118164,807.144121606,55400,,549,,1736533211.1305454,
142,,,-61.479270935058594,2.015221118927002,809.669809719,55700,,552,,1736533213.6562352,
143,,,-63.74018478393555,2.254152297973633,811.351054266,55900,,554,,1736533215.3374858,
144,,,-64.75125122070312,3.2024435997009277,813.864870457,56200,,557,,1736533217.851294,
145,,,-60.66108703613281,4.419344425201416,818.87950206,56800,,563,,1736533222.8659337,
146,,,-66.10816192626953,1.5321424007415771,820.548485761,57000,,565,,1736533224.5349047,
147,,,-62.93950653076172,1.3769943714141846,822.217783258,57200,,567,,1736533226.204212,
148,,,-64.4253921508789,1.6254682540893555,823.050644298,57300,,568,,1736533227.0370812,
149,,,-66.38597106933594,1.7854723930358887,827.224857978,57800,,573,,1736533231.211286,
150,,,-64.83563232421875,1.0570800304412842,835.566143577,58800,,583,,1736533239.5525792,
151,,,-68.48371124267578,1.584769606590271,836.400776794,58900,,584,,1736533240.3872087,
152,,,-63.11126708984375,4.966190338134766,840.590741037,59400,,589,,1736533244.5771744,
153,,,-60.3744010925293,1.4918944835662842,842.264798285,59600,,591,,1736533246.2512286,
154,,,-65.49436950683594,1.6378865242004395,844.776541884,59900,,594,,1736533248.7629666,
155,,,-62.72579574584961,1.1508588790893555,951.433199045,60100,,597,,1736533355.4196365,
156,,,-65.47019958496094,1.0774650573730469,956.474650779,60700,,603,,1736533360.4610782,
157,,,-62.7465934753418,2.7127065658569336,959.836759775,61100,,607,,1736533363.8231888,
158,,,-65.6097183227539,1.505988359451294,962.358960886,61400,,610,,1736533366.3453894,
159,,,-67.92317962646484,1.644580364227295,969.079787732,62200,,618,,1736533373.0662038,
160,,,-64.41145324707031,1.124032735824585,970.76712959,62400,,620,,1736533374.7535691,
161,,,-67.46251678466797,1.1562814712524414,974.981839933,62900,,625,,1736533378.968265,
162,,,-60.875179290771484,32.13329315185547,976.670034374,63100,,627,,1736533380.6564467,
163,,,-65.42749786376953,2.02493953704834,977.516584487,63200,,628,,1736533381.5030048,
164,,,-61.65114212036133,4.979156970977783,985.124599637,64100,,637,,1736533389.1110208,
165,,,-60.5087890625,3.482964515686035,986.815923203,64300,,639,,1736533390.80235,
166,,,-71.1014633178711,6.26591682434082,990.195764159,64700,,643,,1736533394.182199,
167,,,-63.19306182861328,2.5348634719848633,996.926122373,65500,,651,,1736533400.9125545,
168,,,-58.834503173828125,1.4893372058868408,997.766544216,65600,,652,,1736533401.752965,
169,,,-65.661376953125,4.6385111808776855,998.606880867,65700,,653,,1736533402.5933092,
170,,,-60.2569465637207,1.869568943977356,999.447509086,65800,,654,,1736533403.4339368,
171,,,-68.53065490722656,1.4958832263946533,1002.812434253,66200,,658,,1736533406.7988722,
172,,,-68.46111297607422,1.568784475326538,1007.864790028,66800,,664,,1736533411.8512213,
173,,,-65.51116943359375,1.1185506582260132,1011.238317823,67200,,668,,1736533415.2247496,
174,,,-64.98030853271484,1.3670527935028076,1023.048925018,68600,,682,,1736533427.035361,
175,,,-67.57907104492188,1.462920904159546,1023.895303038,68700,,683,,1736533427.881689,
176,,,-63.6543083190918,1.1661490201950073,1024.737737431,68800,,684,,1736533428.7241445,
177,,,-65.7860336303711,4.114090919494629,1028.121669094,69200,,688,,1736533432.1080933,
178,,,-71.855224609375,1.5531835556030273,1028.966751461,69300,,689,,1736533432.9531863,
179,,,-66.88980865478516,15.420316696166992,1031.505671519,69600,,692,,1736533435.4921036,
180,,,-63.88683319091797,4.454486846923828,1120.129082835,70400,,701,,1736533524.1155124,
181,,,-65.19918060302734,2.073207378387451,1124.363516637,70900,,706,,1736533528.349947,
182,,,-70.47618865966797,2.1109824180603027,1125.208906318,71000,,707,,1736533529.1953382,
183,,,-63.13739013671875,1.3655935525894165,1126.90356563,71200,,709,,1736533530.8899956,
184,,,-68.39971923828125,1.5911228656768799,1132.835403522,71900,,716,,1736533536.8218327,
185,,,-71.29850006103516,11.139545440673828,1133.683132075,72000,,717,,1736533537.6695628,
186,,,-65.52363586425781,1.7205533981323242,1138.772716112,72600,,723,,1736533542.7591364,
187,,,-63.95360565185547,1.6848164796829224,1146.492005398,73500,,732,,1736533550.4784386,
188,,,-65.98016357421875,2.0389721393585205,1152.599879011,74200,,739,,1736533556.5863078,
189,,,-64.13096618652344,1.7061080932617188,1154.292250228,74400,,741,,1736533558.2786813,
190,,,-65.061279296875,1.6718173027038574,1155.138069442,74500,,742,,1736533559.124497,
191,,,-70.61410522460938,3.4808154106140137,1161.944154152,75300,,750,,1736533565.930578,
192,,,-65.47718811035156,2.5987045764923096,1162.795876062,75400,,751,,1736533566.7823014,
193,,,-70.45591735839844,2.9359326362609863,1167.883031285,76000,,757,,1736533571.869469,
194,,,-66.86186218261719,4.53456974029541,1169.58201745,76200,,759,,1736533573.5684538,
195,,,-71.27435302734375,4.6072187423706055,1173.827673293,76700,,764,,1736533577.8141038,
196,,,-60.0615234375,2.9544897079467773,1178.934566776,77300,,770,,1736533582.9210005,
197,,,-64.4207534790039,3.197591781616211,1179.784356499,77400,,771,,1736533583.7707922,
198,,,-68.36245727539062,3.183558464050293,1185.738255162,78100,,778,,1736533589.7247005,
199,,,-65.07717895507812,3.2617897987365723,1189.985205218,78600,,783,,1736533593.971635,
200,,,-62.92925262451172,18.527729034423828,1191.686494353,78800,,785,,1736533595.6729157,
201,,,-69.36976623535156,3.91060733795166,1195.939366947,79300,,790,,1736533599.9257948,
202,,,-63.34302520751953,2.836681365966797,1198.488375454,79600,,793,,1736533602.4748077,
203,,,-68.10052490234375,2.562692880630493,1201.891787512,80000,,797,,1736533605.8782108,
204,,,-70.6095199584961,3.2903084754943848,1291.138337375,80100,,799,,1736533695.1247683,
205,,,-67.42481994628906,3.6862869262695312,1292.839176979,80300,,801,,1736533696.8256075,
206,,,-70.29682159423828,3.024224281311035,1295.39109668,80600,,804,,1736533699.3775182,
207,,,-69.55502319335938,2.893341064453125,1296.242943394,80700,,805,,1736533700.2293735,
208,,,-67.38151550292969,2.9338293075561523,1298.798091828,81000,,808,,1736533702.784522,
209,,,-66.59574127197266,23.64447784423828,1303.050821971,81500,,813,,1736533707.0372503,
210,,,-73.03235626220703,2.2501468658447266,1307.304360191,82000,,818,,1736533711.2907867,
211,,,-67.48514556884766,3.2534661293029785,1309.858465457,82300,,821,,1736533713.8448968,
212,,,-66.50481414794922,7.891079425811768,1312.415750727,82600,,824,,1736533716.4021769,
213,,,-61.21062469482422,6.525113105773926,1318.379369404,83300,,831,,1736533722.3657963,
214,,,-68.97042846679688,7.388095855712891,1319.229834363,83400,,832,,1736533723.216265,
215,,,-67.77116394042969,2.689497470855713,1320.082085831,83500,,833,,1736533724.0685198,
216,,,-72.64881896972656,8.575336456298828,1322.639657652,83800,,836,,1736533726.6260831,
217,,,-66.58952331542969,2.07187557220459,1325.197649999,84100,,839,,1736533729.1840847,
218,,,-68.9627685546875,6.059162616729736,1327.74954064,84400,,842,,1736533731.735972,
219,,,-68.07546997070312,2.7346677780151367,1331.148749258,84800,,846,,1736533735.1351838,
220,,,-69.55012512207031,2.2722244262695312,1336.253094981,85400,,852,,1736533740.2395327,
221,,,-62.61720657348633,33.22774887084961,1339.665387222,85800,,856,,1736533743.6518166,
222,,,-67.30492401123047,2.4955852031707764,1341.370878963,86000,,858,,1736533745.3573055,
223,,,-66.96336364746094,2.7338614463806152,1345.628229564,86500,,863,,1736533749.6146586,
224,,,-74.12472534179688,4.195714950561523,1348.185070771,86800,,866,,1736533752.171502,
225,,,-61.914398193359375,2.22025203704834,1355.859651737,87700,,875,,1736533759.8460937,
226,,,-69.89215087890625,3.4013988971710205,1356.709089443,87800,,876,,1736533760.6955156,
227,,,-63.48500442504883,2.3071913719177246,1361.827016406,88400,,882,,1736533765.8134441,
228,,,-65.51465606689453,19.680431365966797,1362.679513582,88500,,883,,1736533766.6659436,
229,,,-71.70008850097656,2.646561861038208,1364.386910078,88700,,885,,1736533768.3733377,
230,,,-71.49588775634766,2.728304386138916,1366.945055171,89000,,888,,1736533770.9314861,
231,,,-69.83522033691406,3.3192124366760254,1367.800719503,89100,,889,,1736533771.787136,
232,,,-67.8113784790039,1.7463526725769043,1373.784176908,89800,,896,,1736533777.77061,
233,,,-66.52499389648438,24.01294708251953,1375.492106294,90000,,898,,1736533779.4785397,
234,"{'_type': 'table-file', 'ncols': 2, 'nrows': 2, 'path': 'media/table/eval/front_899_79de0177c864be31e3db.table.json', 'sha256': '79de0177c864be31e3dbbdc16d17f6429f655ce3a9ebf222cd6a94cf541c8e1d', 'size': 135, 'artifact_path': 'wandb-client-artifact://wa2yoj8bejkt6lyy251k5rawwrwnxda9ha2kdttb9cpafckvrzlyu7r4d6e7t5bz1asvb14xnf714a96fbjjtu75d7dj91snlhp5k7eipf24t6i9fyrn0lvabn70npl6/eval/front.table.json', '_latest_artifact_path': 'wandb-client-artifact://3o3cnwmhhcf8o421d52atcjuv3pv7ngutbrazm3gxpgjm3091994o8rryodeepziaagz28xsq8voj75rikuahtfzhtx3y7x5uujcjalxqnh68qneyfn1tu3lld07tcqn:latest/eval/front.table.json'}",1048.8649151749178,,,1490.812662691,90000,2.0,899,164.4913371704258,1736533894.7680354,71829.96071583878
235,,,-73.1333999633789,2.2348718643188477,1494.236398295,90400,,903,,1736533898.2228286,
236,,,-63.081504821777344,2.173015594482422,1495.96165027,90600,,905,,1736533899.9480922,
237,,,-70.82390594482422,1.9094055891036987,1498.546466799,90900,,908,,1736533902.5328987,
238,,,-68.03807067871094,2.211977481842041,1502.853754413,91400,,913,,1736533906.8401895,
239,,,-64.55427551269531,2.57075572013855,1503.714686299,91500,,914,,1736533907.701113,
240,,,-66.35801696777344,2.3054404258728027,1509.746989119,92200,,921,,1736533913.7334168,
241,,,-67.18411254882812,2.562664031982422,1514.913186459,92800,,927,,1736533918.8996184,
242,,,-71.28817749023438,3.007638454437256,1517.492756882,93100,,930,,1736533921.4791944,
243,,,-75.4317855834961,2.011021137237549,1520.082014517,93400,,933,,1736533924.0684457,
244,,,-72.30428314208984,2.702688217163086,1525.247841679,94000,,939,,1736533929.2342653,
245,,,-64.9014892578125,1.6870195865631104,1529.553381999,94500,,944,,1736533933.5398026,
